stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
8,dac,3,0.8468183223820397,0.19289344549179077,0.43919636324973227,0.36466094851493835,0.5261234045028687,0.6866666674613953,480
9,retrain,0,0.6500380405597898,0.44068828225135803,0.6638435676056205,0.48187026381492615,0.43218863010406494,0.7566666603088379,540
9,retrain,1,0.8374678101312305,0.2046680450439453,0.4524025254615024,0.2949027121067047,0.49788105487823486,0.8133333325386047,540
9,retrain,2,0.2130763055349637,0.9909306764602661,0.9954550097620013,0.6753284931182861,0.24085146188735962,0.33500000834465027,540
9,retrain,3,0.9332896531395236,0.08400475233793259,0.2898357333696668,0.22189925611019135,0.4886181652545929,0.8166666626930237,540
10,dac,0,0.7555859190683791,0.3077774941921234,0.5547769769845567,0.43100646138191223,0.43218863010406494,0.7099999785423279,540
10,dac,1,0.8110278268826732,0.2379624992609024,0.4878140006815122,0.4001915752887726,0.49788105487823486,0.6399999856948853,540
10,dac,2,0.29609446531453687,0.8863903880119324,0.9414830789833306,0.7022258043289185,0.24085146188735962,0.22333332896232605,540
10,dac,3,0.8366869750259399,0.20565131306648254,0.4534879414785828,0.38216888904571533,0.4886181652545929,0.6600000262260437,540
11,retrain,0,0.664644111182707,0.42229562997817993,0.6498427732753361,0.47803106904029846,0.39798492193222046,0.7200000286102295,600
11,retrain,1,0.8303923193806966,0.21357783675193787,0.46214482227104725,0.30359354615211487,0.44154229760169983,0.7549999952316284,600
11,retrain,2,0.24906732379508478,0.9456091523170471,0.9724243684302893,0.6628194451332092,0.23283572494983673,0.33000001311302185,600
11,retrain,3,0.9190320334767602,0.10195860266685486,0.3193095718371982,0.2463081330060959,0.45228657126426697,0.7883333563804626,600
12,dac,0,0.755192891225994,0.30827242136001587,0.5552228573825252,0.436137855052948,0.39798492193222046,0.6733333468437195,600
12,dac,1,0.8167552771701594,0.2307502180337906,0.48036467192518495,0.3943391740322113,0.44154229760169983,0.6133333444595337,600
12,dac,2,0.3292874549301327,0.8445922136306763,0.9190169822319261,0.6860007047653198,0.23283572494983673,0.22499999403953552,600
12,dac,3,0.8197506174646565,0.2269783467054367,0.47642244563563196,0.4028782248497009,0.45228657126426697,0.6433333158493042,600
13,retrain,0,0.6900797438002764,0.39026591181755066,0.6247126634041851,0.4635051488876343,0.36424684524536133,0.6650000214576721,660
13,retrain,1,0.8419447852147288,0.19903042912483215,0.4461282653282934,0.305960476398468,0.3999391794204712,0.7350000143051147,660
13,retrain,2,0.24639374084013244,0.9489758014678955,0.9741538900337541,0.669358491897583,0.2265980988740921,0.3166666626930237,660
13,retrain,3,0.9102675489437668,0.11299525201320648,0.33614766400081747,0.25563523173332214,0.40946197509765625,0.7433333396911621,660
14,dac,0,0.7587203267141258,0.30383050441741943,0.5512082223782764,0.43254780769348145,0.36424684524536133,0.6366666555404663,660
14,dac,1,0.8252265307408428,0.2200828343629837,0.4691298693997044,0.3898087441921234,0.3999391794204712,0.5983333587646484,660
14,dac,2,0.34809503176186884,0.8209088444709778,0.9060402002510582,0.6763948798179626,0.2265980988740921,0.2266666740179062,660
