agent_id,final_loss,best_loss,training_time,iterations_used,converged,convergence_iteration,convergence_reason,final_relative_change,lengthscale,outputscale,noise,inducing_mean_min,inducing_mean_max,inducing_mean_std,inducing_var_min,inducing_var_max,inducing_var_mean,avg_inducing_movement,max_inducing_movement
0,0.8017146587371826,0.8007502555847168,22.005881547927856,1000,False,,max_iterations_reached,0.004125826616649291,[[1.5798395]],0.19938903,[0.24199998],-1.4651005,2.2690566,1.1891203,0.0014268458,0.0075876117,0.0022740746,1.0624619563062627,0.4321958
1,0.7420744895935059,0.7420744895935059,19.97973370552063,1000,False,,max_iterations_reached,0.0060841330544341415,[[1.6419806]],0.19540785,[0.21262623],-1.666357,2.3289516,1.1976517,0.0010807812,0.0049669445,0.0018558837,1.0227722435540803,0.3537848
2,0.7459309101104736,0.7459309101104736,19.880945205688477,1000,False,,max_iterations_reached,0.003875377733442821,[[1.6262485]],0.18459791,[0.21507849],-2.3583167,2.0113065,1.2349706,0.0012252182,0.0045884848,0.0019218572,0.84814695355942,0.48560253
3,0.6638960838317871,0.6638960838317871,20.08052372932434,1000,False,,max_iterations_reached,0.00674820607176893,[[1.709002]],0.17785615,[0.18269832],-1.9554342,2.17275,1.2164364,0.0009821057,0.003925264,0.0015855948,0.8673984745444657,0.32874182
