stage_number,stage_name,agent_id,r2_score,mse,rmse,mae,avg_uncertainty,coverage,training_data_size
1,initial,0,-1.3723152658199416,59.8051872253418,7.7333813578112,5.208807945251465,0.7528606057167053,0.3100000023841858,250
1,initial,1,-1.0795786580167008,52.42540740966797,7.240539165674609,5.584020137786865,0.8574877977371216,0.20000000298023224,250
1,initial,2,-1.4705549482328801,62.28177261352539,7.891880169739363,5.217330455780029,0.8481281399726868,0.30000001192092896,250
1,initial,3,-0.5642331915263639,39.433738708496094,6.279628867098444,4.740053653717041,0.9052331447601318,0.3199999928474426,250
2,dac,0,-1.1143613745041265,53.30226516723633,7.300840031615288,5.228123188018799,0.7528606057167053,0.21199999749660492,250
2,dac,1,-0.8219588404403808,45.930904388427734,6.777234272800944,4.741373062133789,0.8574877977371216,0.35600000619888306,250
2,dac,2,-0.9079516832668306,48.0987548828125,6.935326588042736,4.862926483154297,0.8481281399726868,0.2759999930858612,250
2,dac,3,-0.8564835639889108,46.80126190185547,6.841144780068279,4.795088291168213,0.9052331447601318,0.4399999976158142,250
3,retrain,0,-0.9264631802224217,48.56542205810547,6.968889585730675,4.503307819366455,0.697485089302063,0.3479999899864197,300
3,retrain,1,0.12347952675022456,22.096755981445312,4.7007186664855105,3.3695905208587646,0.8170894384384155,0.2939999997615814,300
3,retrain,2,-0.1728059172569376,29.566001892089844,5.4374628175363044,3.4712226390838623,0.8100795745849609,0.3919999897480011,300
3,retrain,3,0.10610451580684421,22.534772872924805,4.747080457810338,3.95611572265625,0.8848764300346375,0.2540000081062317,300
4,dac,0,-0.5248321690066331,38.440452575683594,6.200036497931572,4.334367752075195,0.697485089302063,0.15800000727176666,300
4,dac,1,0.1253076352746042,22.050670623779297,4.69581415984271,3.2520270347595215,0.8170894384384155,0.38600000739097595,300
4,dac,2,0.03504605522674964,24.326129913330078,4.9321526652497365,3.3955936431884766,0.8100795745849609,0.30000001192092896,300
4,dac,3,0.13066528863900606,21.915605545043945,4.681410636233906,3.4262187480926514,0.8848764300346375,0.3720000088214874,300
5,retrain,0,-0.36673037723417656,34.45476531982422,5.869818167526505,3.689486026763916,0.5991261005401611,0.2919999957084656,350
5,retrain,1,0.5603936290467899,11.082313537597656,3.3290108947850645,2.0609757900238037,0.7461129426956177,0.46000000834465027,350
5,retrain,2,0.41750776496812003,14.684412956237793,3.8320246549621513,2.5218300819396973,0.6365993022918701,0.35600000619888306,350
5,retrain,3,0.6675913608781525,8.379898071289062,2.894805359828025,2.403991222381592,0.8241725564002991,0.3479999899864197,350
6,dac,0,-0.1135282819908221,28.07163429260254,5.2982671027990405,3.778546094894409,0.5991261005401611,0.09399999678134918,350
6,dac,1,0.642842322928418,9.003812789916992,3.000635397697793,1.9533641338348389,0.7461129426956177,0.46799999475479126,350
6,dac,2,0.5175386388978155,12.16267204284668,3.4875022642066744,2.223653793334961,0.6365993022918701,0.3840000033378601,350
6,dac,3,0.6898973296571154,7.817573070526123,2.795992323044919,2.032768487930298,0.8241725564002991,0.44999998807907104,350
7,retrain,0,0.17028393943662223,20.916833877563477,4.573492525145688,2.8261802196502686,0.524237871170044,0.2720000147819519,400
7,retrain,1,0.7305804143849084,6.791967868804932,2.606140416171955,1.6874116659164429,0.713891863822937,0.6520000100135803,400
7,retrain,2,0.7503671169794649,6.293152332305908,2.5086156206772507,1.5553644895553589,0.48791906237602234,0.44999998807907104,400
7,retrain,3,0.8899806253501791,2.773547649383545,1.665397144642546,1.1973285675048828,0.7242229580879211,0.6320000290870667,400
8,dac,0,0.26775785542071817,18.459552764892578,4.296458165150986,3.3101437091827393,0.524237871170044,0.0,400
8,dac,1,0.8443561042447658,3.923724889755249,1.9808394406804528,1.1602932214736938,0.713891863822937,0.621999979019165,400
8,dac,2,0.7831342345785086,5.467105388641357,2.3381842075938666,1.5205355882644653,0.48791906237602234,0.37400001287460327,400
8,dac,3,0.8950553580795622,2.645615577697754,1.6265348375296957,0.9969072341918945,0.7242229580879211,0.6340000033378601,400
9,retrain,0,0.5369914614412695,11.672273635864258,3.4164709329751743,2.0562610626220703,0.4329219460487366,0.2680000066757202,450
9,retrain,1,0.9025255416884048,2.4572949409484863,1.5675761356146267,0.9269795417785645,0.5874347686767578,0.7620000243186951,450
9,retrain,2,0.8703185902894965,3.2692201137542725,1.8080984801039661,1.0983445644378662,0.3795875608921051,0.4880000054836273,450
9,retrain,3,0.8530418955741819,3.704759359359741,1.924775145142866,1.5376821756362915,0.6238906979560852,0.32199999690055847,450
10,dac,0,0.582352856865384,10.528729438781738,3.244800369634739,2.5418694019317627,0.4329219460487366,0.017999999225139618,450
10,dac,1,0.9411194356230609,1.4843571186065674,1.2183419547099934,0.7236365079879761,0.5874347686767578,0.6200000047683716,450
10,dac,2,0.8684612735555182,3.316042423248291,1.8210003907875174,1.2841331958770752,0.3795875608921051,0.2639999985694885,450
10,dac,3,0.9546151295427068,1.1441357135772705,1.069642797188515,0.7132728695869446,0.6238906979560852,0.6959999799728394,450
11,retrain,0,0.7230470593068308,6.9818806648254395,2.6423248598205027,1.5493971109390259,0.3495033085346222,0.2720000147819519,500
11,retrain,1,0.9612744948025964,0.9762555956840515,0.9880564739345882,0.5089904069900513,0.4129802882671356,0.7480000257492065,500
11,retrain,2,0.9133439584329902,2.1845667362213135,1.4780279889844148,0.8862105011940002,0.320919394493103,0.492000013589859,500
11,retrain,3,0.9260716730339085,1.8637056350708008,1.36517604545011,0.9850587844848633,0.4897645115852356,0.4699999988079071,500
12,dac,0,0.7296130183394063,6.8163557052612305,2.6108151419166448,2.030151605606079,0.3495033085346222,0.024000000208616257,500
12,dac,1,0.9704482210883508,0.7449893951416016,0.8631276818302154,0.6001014113426208,0.4129802882671356,0.5139999985694885,500
12,dac,2,0.9015945106386067,2.4807658195495605,1.5750447039844808,1.1307775974273682,0.320919394493103,0.2759999930858612,500
12,dac,3,0.9742362576148796,0.6494944095611572,0.8059121599536498,0.6593753695487976,0.4897645115852356,0.6000000238418579,500
13,retrain,0,0.8137815101962921,4.6944990158081055,2.1666792600216827,1.266541600227356,0.27588143944740295,0.24400000274181366,550
13,retrain,1,0.9716800986338995,0.7139341831207275,0.8449462604927769,0.4788082540035248,0.2984762489795685,0.6859999895095825,550
13,retrain,2,0.9349607742267895,1.6396147012710571,1.2804744047699887,0.7870317697525024,0.2803103029727936,0.40799999237060547,550
13,retrain,3,0.9542359893564718,1.153693675994873,1.0741013341369952,0.7773680686950684,0.3504331111907959,0.44999998807907104,550
14,dac,0,0.7827693837534351,5.4763031005859375,2.3401502303454658,1.812362790107727,0.27588143944740295,0.02199999988079071,550
14,dac,1,0.9722804987553804,0.6987983584403992,0.835941599898222,0.7235183119773865,0.2984762489795685,0.36000001430511475,550
14,dac,2,0.9144142126993635,2.157585859298706,1.468872308711246,1.073525071144104,0.2803103029727936,0.2800000011920929,550
14,dac,3,0.97045540450661,0.7448083162307739,0.8630227785121166,0.7567852139472961,0.3504331111907959,0.44600000977516174,550
15,retrain,0,0.8659716416951742,3.378805160522461,1.8381526488631081,1.050544023513794,0.21570107340812683,0.23399999737739563,592
15,retrain,1,0.9761405849428383,0.6014869809150696,0.7755559173361194,0.49696099758148193,0.2206254005432129,0.49000000953674316,600
15,retrain,2,0.9499632088898721,1.2614089250564575,1.1231246257902359,0.7028917074203491,0.2479429990053177,0.36399999260902405,581
15,retrain,3,0.9461078220670388,1.3586018085479736,1.1655907551743767,0.7853555083274841,0.28192439675331116,0.328000009059906,600
16,dac,0,0.8205139056645983,4.524777889251709,2.127152530791271,1.6466991901397705,0.21570107340812683,0.01600000075995922,592
16,dac,1,0.9732471200473122,0.6744301915168762,0.8212369886438848,0.7312395572662354,0.2206254005432129,0.24199999868869781,600
16,dac,2,0.9307139237937443,1.7466763257980347,1.3216188277253145,0.990516185760498,0.2479429990053177,0.17599999904632568,581
16,dac,3,0.9529574910148328,1.1859241724014282,1.0890014565653383,0.9881748557090759,0.28192439675331116,0.2160000056028366,600
17,retrain,0,0.8205139056645983,4.524777889251709,2.127152530791271,1.6466991901397705,0.21570107340812683,0.01600000075995922,592
17,retrain,1,0.9828325382747769,0.4327853322029114,0.657864220187503,0.3900860548019409,0.17204754054546356,0.5180000066757202,606
17,retrain,2,0.9307139237937443,1.7466763257980347,1.3216188277253145,0.990516185760498,0.2479429990053177,0.17599999904632568,581
17,retrain,3,0.9529574910148328,1.1859241724014282,1.0890014565653383,0.9881748557090759,0.28192439675331116,0.2160000056028366,600
18,dac,0,0.8085518267528575,4.8263373374938965,2.1968926549774563,1.743586778640747,0.21570107340812683,0.014000000432133675,592
18,dac,1,0.9807179222484587,0.48609402775764465,0.6972044375630756,0.5558121800422668,0.17204754054546356,0.27000001072883606,606
18,dac,2,0.9277142038671623,1.8222980499267578,1.3499252016044287,1.0111503601074219,0.2479429990053177,0.21799999475479126,581
18,dac,3,0.9593313063197746,1.0252426862716675,1.0125426836788993,0.943601667881012,0.28192439675331116,0.23800000548362732,600
19,final,0,0.8077500730206766,4.8465495109558105,2.2014880219878123,1.753484845161438,0.21570107340812683,0.014000000432133675,592
19,final,1,0.9789294871596385,0.5311797857284546,0.7288208186711289,0.595888614654541,0.17204754054546356,0.25600001215934753,606
19,final,2,0.9281084323791781,1.8123596906661987,1.3462390911967304,1.0012716054916382,0.2479429990053177,0.23000000417232513,581
19,final,3,0.9635928068586124,0.9178118109703064,0.9580249532085824,0.8994056582450867,0.28192439675331116,0.27399998903274536,600
